,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
94,hopeless fountain kingdom (Deluxe),15,2bDXmdP23tCK9uj8e2o3ya,Devil In Me,spotify:track:2bDXmdP23tCK9uj8e2o3ya,0.0634,0.581,0.71,0.0,0.0732,-5.245,0.0348,106.04,0.188,57
95,hopeless fountain kingdom (Deluxe),16,0FV5UJ3aGray3oeNBpJ8oc,Hopeless,spotify:track:0FV5UJ3aGray3oeNBpJ8oc,0.617,0.444,0.47,0.0,0.0861,-6.897,0.0611,89.945,0.164,51
167,BADLANDS (Deluxe),1,16w8ZGVSjI4TlTLV8VimBY,Castle,spotify:track:16w8ZGVSjI4TlTLV8VimBY,0.25,0.626,0.571,0.0,0.0946,-7.461,0.0327,129.959,0.164,68
168,BADLANDS (Deluxe),2,4U38hORPx8SsUAXGumsUYN,Hold Me Down,spotify:track:4U38hORPx8SsUAXGumsUYN,0.279,0.677,0.744,0.0,0.119,-4.512,0.0882,145.928,0.531,60
170,BADLANDS (Deluxe),4,3ek4HgBlmvkTWgfT5sTSe9,Drive,spotify:track:3ek4HgBlmvkTWgfT5sTSe9,0.239,0.571,0.585,0.00016,0.133,-8.392,0.0494,113.973,0.291,58
171,BADLANDS (Deluxe),5,5Dg2h1wsm7ZijCo0yLmbvR,Hurricane,spotify:track:5Dg2h1wsm7ZijCo0yLmbvR,0.00823,0.586,0.83,0.0028,0.348,-5.375,0.0416,120.017,0.486,60
172,BADLANDS (Deluxe),6,6s8PRmROPJHlqZmu9Bbviz,Roman Holiday,spotify:track:6s8PRmROPJHlqZmu9Bbviz,0.0322,0.431,0.836,2.34e-05,0.105,-4.428,0.0395,74.473,0.75,55
173,BADLANDS (Deluxe),7,5dcYoYFAXh0f0qI05AoufB,Ghost,spotify:track:5dcYoYFAXh0f0qI05AoufB,0.0529,0.57,0.606,0.000727,0.134,-8.085,0.129,95.038,0.212,61
175,BADLANDS (Deluxe),9,2FBkPf8hS5Jam6YEnV8DBF,Colors pt. II,spotify:track:2FBkPf8hS5Jam6YEnV8DBF,0.0179,0.585,0.634,0.633,0.146,-8.364,0.0507,94.969,0.453,50
176,BADLANDS (Deluxe),10,6zQq3TrWnilO8SR1fgvTeD,Strange Love,spotify:track:6zQq3TrWnilO8SR1fgvTeD,0.00212,0.605,0.849,0.000372,0.192,-4.761,0.043,89.993,0.599,57
177,BADLANDS (Deluxe),11,4lKXjLzAV0Nxwln8MxHVtQ,Coming Down,spotify:track:4lKXjLzAV0Nxwln8MxHVtQ,0.436,0.625,0.753,0.00273,0.367,-5.983,0.166,88.956,0.539,55
178,BADLANDS (Deluxe),12,1r1WtSrPbAOYHE7zwq4eqK,Haunting,spotify:track:1r1WtSrPbAOYHE7zwq4eqK,0.015,0.461,0.696,0.000491,0.21,-5.752,0.0486,180.006,0.311,57
179,BADLANDS (Deluxe),13,2IO7yf562c1zLzpanal1DT,Gasoline,spotify:track:2IO7yf562c1zLzpanal1DT,0.223,0.731,0.58,0.0,0.129,-7.328,0.0399,119.997,0.319,72
180,BADLANDS (Deluxe),14,3SKzTIl9mW0DadTys9SFo3,Control,spotify:track:3SKzTIl9mW0DadTys9SFo3,0.399,0.549,0.675,0.0,0.181,-5.637,0.0332,119.898,0.206,71
181,BADLANDS (Deluxe),15,5x2XIAdvFxWCwIOMNkbWUj,Young God,spotify:track:5x2XIAdvFxWCwIOMNkbWUj,0.324,0.449,0.599,4.09e-06,0.114,-6.509,0.0405,119.868,0.198,60
182,BADLANDS (Deluxe),16,36dfGEKTGHxLmdNIYr0VTi,I Walk The Line,spotify:track:36dfGEKTGHxLmdNIYr0VTi,0.0556,0.5,0.633,0.0,0.311,-6.251,0.0414,119.901,0.195,53
201,BADLANDS,3,6Xs7OKt6i0Ddq8B4M5Dgvr,New Americana,spotify:track:6Xs7OKt6i0Ddq8B4M5Dgvr,0.0113,0.339,0.707,0.0,0.337,-5.121,0.0428,173.993,0.359,67
204,BADLANDS,6,1TnUURhehaoMWKAqQtirm6,Colors,spotify:track:1TnUURhehaoMWKAqQtirm6,0.0534,0.512,0.812,0.0,0.092,-4.809,0.0617,100.02,0.521,69
